1000434	1000518
1021484	1234336
1014609	1014609
1000287	1239413
1004729	1003612
1006586	1021625
1008128	1019469
1002081	1013150
1939	6785079
1006102	1034635
1010219	1008391
1013469	1003375
162	1332522
1000110	1034635
1001864	1001864
1003748	6677373
1082210	1239362
1006755	1002521
1006530	1002521
1004751	1002521
1016805	3195
1001633	1002521
1003166	1245974
1006040	1013702
1006661	1172842
1008202	1002519
1025190	2163
6610959	1009898
1005756	1083585
1006643	1068898
1006593	1064675
1006463	6777553
1002139	1018807
1008545	1003211
1000935	6747938
15	15
1003711	1022508
1001613	1029372
1001963	1029372
1004791	1029372
1002011	1254973
1008795	1002735
1002311	1000597
1002800	286
1040022	1005059
1004053	1260159
1010284	1018807
1001379	1049809
1006611	1003612
1318961	1001348
1003066	286
1037607	1234421
1004091	1001129
1004759	1021625
1004789	1021625
1004753	1021625
1004810	1021625
1004782	1021625
1004771	1021625
1004796	1021625
1004795	1021625
1010146	1034635
1004857	1034635
1001410	1034635
1003979	1247540
1006447	1021625
1000943	1247540
1003573	2063190
1000103	2064752
6868142	6866886
1004918	1047756
1006503	1021625
1006490	1021625
1006471	1021625
1006500	1021625
1006532	1021625
1003713	1003211
1006990	1002521
2038	1284440
1003432	1008457
1001325	5743
1006732	1240940
1007024	1240940
1000586	2001739
1001620	1014454
1007056	1014454
2608	1034635
1059598	1000840
1000762	1001514
1003801	1241757
1003862	1013756
1252764	1003014
1005159	1315167
1006762	1021625
1006733	1021625
1004853	1005629
1000945	1018807
1002335	1001412
1006496	1182
1030258	101
1006748	1021625
1001220	721
1053080	1004461
1002143	4377
1004851	1033886
1004733	1021625
1006488	1159077
1004777	1159077
1002350	5734
1006063	1159077
1006724	1021625
1006728	1021625
1006713	1021625
1006684	1021625
1001639	1021625
1006768	1021625
1006763	1021625
1006722	1021625
1006662	1021625
1006251	792
1006766	1021625
1006773	1021625
1001962	1021625
1001629	1021625
1021962	1253358
1006784	1021625
1007033	1021625
1007019	1021625
1007015	1021625
1007073	1021625
1002333	1001208
1075482	1264703
1004073	1011202
1008615	1003158
1005853	1007712
1003806	1000789
5702	1066440
1003377	6691692
1003280	10070464
1005868	1009302
1039746	1072969
1002477	1023907
1002396	1274328
1001517	1043054
1043827	6910087
1005243	1263378
1292994	1001196
1006497	1021625
1004783	1021625
1026228	1306856
754	754
1002778	393
1001614	1161
1006322	1006322
3197	2058809
1006456	1000527
1004727	1000527
1006479	1000527
1001609	1240940
1004971	1240940
1006613	1240940
1006566	1240940
1006695	1240940
1006740	1240940
1007001	1240940
1006140	1246817
1010350	1247965
1015584	1007658
1005746	1003731
1000129	5810
1004494	553
1000068	2977
1004854	1005928
1001030	15
1005784	1116582
1006744	1251616
1002498	3066
1002752	6839911
1002733	7031771
1006268	1002392
1017405	2006683
1032263	1093795
1003645	1823
1002343	1252
1003123	2231
1233603	4250
709	2003588
1006998	4469
1006974	4469
1006704	4469
1006756	4469
1002324	1001819
1001885	1268554
1002346	1019797
1006478	4469
1006615	4469
1004797	4469
1001631	4469
1002312	1000796
1003633	1237611
1002165	1012176
1004444	1024145
1004875	1004075
1005223	1004075
1005407	1004075
1005605	1004075
1048604	1000789
1014201	1022916
1005430	1069558
1296514	1006885
1003678	1238335
1114543	1942
1002753	1002322
1005219	1039381
1252428	1034635
1001408	1100169
1005489	2003588
1113789	1015128
1009440	1003272
1000346	1000358
1006577	1261516
1007652	1001172
4558	1044408
1005318	1238056
1042256	1279485
